iter	Logloss	MCC:use_weights=true	MCC:use_weights=false	F1:use_weights=true	F1:use_weights=false	Accuracy:use_weights=true	Accuracy:use_weights=false	Kappa
0	0.6841591096	0.475390224	0.4461946935	0.6777568362	0.6067518248	0.7507498639	0.7599554442	0.4748316039
1	0.6754669282	0.4970178645	0.4714482598	0.6829710964	0.6205227493	0.7654375352	0.7816764133	0.4968892472
2	0.6667592659	0.513553236	0.483909732	0.7004154126	0.6321626617	0.7693657367	0.7783347257	0.5131239881
3	0.6587529363	0.5125773571	0.4874622996	0.6917681538	0.6311675623	0.7730901162	0.7897521582	0.5123346613
4	0.6506532477	0.5090886101	0.4832422343	0.6910160657	0.6289308176	0.7708789116	0.7864104706	0.508994915
5	0.6431703966	0.4974543729	0.4741310166	0.6782737007	0.6198305929	0.7674180952	0.7875243665	0.4965681535
6	0.6364763892	0.4955681005	0.4728142706	0.6757116526	0.6181635725	0.7669470524	0.7880813144	0.4943855613
7	0.6310919678	0.4913571535	0.468642667	0.6728630162	0.6151530356	0.7650543468	0.7864104706	0.490148943
8	0.6257794326	0.4937485475	0.4701591915	0.6765013809	0.617369727	0.7655241704	0.7852965748	0.492987302
9	0.6189453894	0.4918499769	0.4685906772	0.6744993201	0.6158445441	0.7648944877	0.7852965748	0.490932589
10	0.6124749073	0.4894891289	0.4666392804	0.6719769843	0.6139208813	0.7641073843	0.7852965748	0.4883563051
11	0.6065282584	0.4927627107	0.4699180875	0.6740961957	0.6162324649	0.7656059287	0.7866889446	0.4916280886
12	0.601073443	0.4922935205	0.4695312138	0.6735909865	0.6158475426	0.765448508	0.7866889446	0.4911129152
13	0.5956180813	0.4927670425	0.4703913924	0.6729592045	0.6159274194	0.7659232085	0.7878028404	0.4913609169
14	0.5900548837	0.494172261	0.4717855191	0.67391239	0.6169354839	0.7665541103	0.7883597884	0.4927751329
15	0.5853770248	0.4960360986	0.4733175502	0.6759343187	0.6184738956	0.767183793	0.7883597884	0.4948344364
16	0.5810931383	0.4951008075	0.4724300067	0.6752074739	0.61778001	0.7667896317	0.7880813144	0.4938711757
17	0.577003936	0.4941784727	0.4719104523	0.6736276369	0.6168601716	0.7666334303	0.7886382623	0.492708854
18	0.5725031376	0.4941678993	0.4716627635	0.6741964538	0.6170105687	0.7664747904	0.7880813144	0.4928413494
19	0.5684735524	0.4960551321	0.4738135773	0.6748049946	0.6181818182	0.7675010728	0.7894736842	0.4945731862
20	0.5645022024	0.4974523964	0.4750808247	0.6760409657	0.6192637418	0.7680526547	0.7897521582	0.4960524673
21	0.5604848287	0.4965368013	0.4744525126	0.6747446466	0.6184210526	0.7678171333	0.7900306321	0.4949577253
22	0.5570013719	0.4960758174	0.4740747697	0.674236211	0.6180344478	0.7676597127	0.7900306321	0.4944421919
23	0.5538259945	0.4960551321	0.4738135773	0.6748049946	0.6181818182	0.7675010728	0.7894736842	0.4945731862
24	0.5504378555	0.4969892115	0.4747011319	0.675535187	0.6188793539	0.7678952341	0.7897521582	0.4955379039
25	0.5478445175	0.4988453519	0.476222538	0.6775529678	0.6204122675	0.7685249167	0.7897521582	0.497594048
26	0.5446877232	0.4955681005	0.4728142706	0.6757116526	0.6181635725	0.7669470524	0.7880813144	0.4943855613
27	0.5419439984	0.4979077204	0.4752126601	0.6771063729	0.6197890507	0.7680514355	0.7891952102	0.4966954367
28	0.53937669	0.4941678993	0.4716627635	0.6741964538	0.6170105687	0.7664747904	0.7880813144	0.4928413494
29	0.5365203241	0.4955692988	0.4729338973	0.6754301694	0.6180904523	0.7670263724	0.7883597884	0.4943201383
30	0.5337476967	0.496507158	0.4739431959	0.6758760013	0.6187122736	0.7674998536	0.7889167363	0.4952184088
31	0.5309236727	0.4969765272	0.4744486065	0.6760991381	0.6190236537	0.7677365942	0.7891952102	0.4956677169
32	0.5284083036	0.4988423402	0.4760994106	0.6778318579	0.6204819277	0.7684455968	0.7894736842	0.4976579306
33	0.5258565239	0.4969765272	0.4744486065	0.6760991381	0.6190236537	0.7677365942	0.7891952102	0.4956677169
34	0.523738894	0.4955723385	0.473055685	0.6751480048	0.6180171112	0.7671056923	0.7886382623	0.4942546537
35	0.5215745284	0.4960360986	0.4733175502	0.6759343187	0.6184738956	0.767183793	0.7883597884	0.4948344364
36	0.5194707232	0.4960411536	0.4729682068	0.6767741771	0.6186906547	0.7669458332	0.7875243665	0.4950297307
37	0.5173277193	0.5016551873	0.4782862712	0.681100174	0.6228201295	0.7693108009	0.7891952102	0.5007923121
38	0.5149427696	0.5021199323	0.4787860899	0.6813231473	0.6231306082	0.7695475415	0.7894736842	0.5012408594
39	0.5127375815	0.5025977572	0.4790590191	0.6820899315	0.623570363	0.7696256422	0.7891952102	0.5018130442
40	0.5111532706	0.5035331949	0.4799440667	0.6828063944	0.6242544732	0.7700198035	0.7894736842	0.5027711741
41	0.5095047387	0.5016710502	0.4780632447	0.6816445513	0.6229508197	0.769152161	0.7886382623	0.5009166432
42	0.5082917987	0.5030800894	0.4793365624	0.6828535508	0.6240079365	0.769703743	0.7889167363	0.5023843044
43	0.5062956731	0.5030699019	0.4794460444	0.6825835188	0.6239443616	0.7697830629	0.7891952102	0.5023228892
44	0.504756755	0.5044685237	0.4808288442	0.6835220787	0.6249379036	0.7704139648	0.7897521582	0.5037288965
45	0.503009501	0.5016622088	0.4781737	0.6813726887	0.6228855721	0.7692314809	0.7889167363	0.5008545067
46	0.5017698574	0.5044685237	0.4808288442	0.6835220787	0.6249379036	0.7704139648	0.7897521582	0.5037288965
47	0.5005244191	0.5007351003	0.4771777097	0.6809275349	0.6222664016	0.7687579997	0.7883597884	0.4999581599
48	0.4988925435	0.5011985138	0.477675461	0.6811500391	0.6225758329	0.7689947403	0.7886382623	0.500406276
49	0.4974330117	0.502617837	0.4788401048	0.6826309987	0.6236985622	0.7694670023	0.7886382623	0.5019363359
50	0.4959363975	0.5049408555	0.4812155486	0.6840138857	0.6253101737	0.7705713854	0.7897521582	0.5042378732
51	0.4947572661	0.5030699019	0.4794460444	0.6825835188	0.6239443616	0.7697830629	0.7891952102	0.5023228892
52	0.4935105041	0.5087403913	0.4843249291	0.6879177852	0.6282619399	0.7718307508	0.7897521582	0.5082972543
53	0.4923917603	0.5055118648	0.4809826299	0.6860986203	0.626044226	0.7702528865	0.7880813144	0.5051070732
54	0.4913499714	0.5041166886	0.4796079574	0.6851689102	0.6250614251	0.7696219846	0.7875243665	0.5037060705
55	0.4906997652	0.5101748431	0.4854981625	0.6893678872	0.6293568974	0.7723030128	0.7897521582	0.5098138474
56	0.4895896182	0.5069530052	0.4821649357	0.6875518542	0.6271435571	0.7707251485	0.7880813144	0.5066262654
57	0.4886388649	0.509740598	0.4849099818	0.6894046611	0.6291033807	0.7719869523	0.7891952102	0.5094244565
58	0.4879110705	0.5120708338	0.4871649476	0.6910331278	0.6307541626	0.7730120154	0.7900306321	0.511774474
59	0.4868487984	0.51113408	0.4862825049	0.6903304686	0.6300832925	0.7726178542	0.7897521582	0.5108231974
60	0.4857904684	0.5139204177	0.4890275509	0.6921808934	0.6320431161	0.7738796579	0.790866054	0.5136199701
61	0.4848617377	0.5153132744	0.490400074	0.6931055111	0.6330230279	0.7745105598	0.7914230019	0.515018002
62	0.4839667329	0.5138784282	0.4892306648	0.6916684933	0.6319410319	0.7740382978	0.7914230019	0.5135081131
63	0.4831410374	0.5138784282	0.4892306648	0.6916684933	0.6319410319	0.7740382978	0.7914230019	0.5135081131
64	0.4822736871	0.5152917874	0.4905016638	0.692850762	0.6329735034	0.7745898798	0.7917014759	0.5149627555
65	0.4815980631	0.515770196	0.4908913328	0.6933289068	0.6333333333	0.7747473004	0.7917014759	0.5154656232
66	0.4804775251	0.5152917874	0.4905016638	0.692850762	0.6329735034	0.7745898798	0.7917014759	0.5149627555
67	0.4795854064	0.5185554208	0.4936370915	0.6951774538	0.6352941176	0.7760091042	0.7928153718	0.518261258
68	0.4788121162	0.5166848459	0.4918752581	0.6937761307	0.6339548577	0.7752207816	0.7922584238	0.516361207
