iter	Passed	Remaining
0	3	3275
1	6	3068
2	9	3117
3	12	3032
4	14	2949
5	17	2908
6	20	2912
7	22	2811
8	25	2767
9	28	2789
10	31	2801
11	34	2801
12	36	2770
13	39	2784
14	42	2797
15	45	2796
16	47	2761
17	51	2792
18	54	2792
19	57	2797
20	59	2796
21	62	2798
22	65	2777
23	68	2781
24	71	2784
25	74	2777
26	77	2800
27	80	2800
28	83	2801
29	87	2815
30	90	2822
31	93	2824
32	96	2822
33	98	2809
34	101	2789
35	104	2791
36	107	2794
37	110	2794
38	113	2794
39	116	2793
40	119	2784
41	121	2764
42	123	2755
43	126	2749
44	129	2748
45	132	2750
46	143	2917
47	147	2926
48	150	2924
49	154	2938
50	157	2929
51	161	2935
52	164	2931
53	167	2931
54	170	2921
55	172	2906
56	175	2906
57	179	2909
58	183	2919
59	186	2919
60	189	2917
61	195	2962
62	199	2968
63	204	2985
64	208	2996
65	211	2995
66	215	2995
67	218	2993
68	221	2989
69	224	2987
70	228	2983
71	231	2982
72	233	2964
73	235	2950
74	238	2937
75	240	2929
76	244	2929
77	248	2932
78	251	2931
79	255	2937
80	259	2944
81	263	2946
82	266	2947
83	270	2946
84	272	2938
85	276	2935
86	279	2935
87	283	2933
88	286	2927
89	288	2920
90	292	2921
91	295	2915
92	298	2911
93	301	2905
94	304	2903
95	307	2892
96	310	2894
97	313	2881
98	315	2871
99	318	2868
100	321	2865
101	324	2861
102	328	2860
103	331	2854
104	333	2841
105	336	2837
106	338	2826
107	341	2822
108	344	2817
109	347	2815
110	351	2814
111	354	2811
112	357	2804
113	358	2789
114	361	2784
115	365	2783
116	367	2774
117	371	2774
118	375	2776
119	378	2777
120	382	2779
121	386	2780
122	390	2781
123	393	2780
124	396	2778
125	400	2776
126	403	2775
127	407	2777
128	411	2777
129	414	2777
130	417	2770
131	421	2768
132	424	2769
133	428	2767
134	431	2765
135	434	2761
136	438	2759
137	440	2753
138	444	2751
139	447	2751
140	450	2746
141	453	2743
142	457	2740
143	460	2735
144	463	2733
145	466	2731
146	469	2723
147	472	2720
148	475	2716
149	479	2714
150	481	2709
151	484	2700
152	487	2697
153	490	2693
154	493	2690
155	497	2689
156	501	2691
157	505	2693
158	508	2688
159	511	2686
160	514	2682
161	517	2677
162	520	2672
163	522	2662
164	525	2660
165	528	2656
166	530	2644
167	533	2641
168	535	2635
169	537	2626
170	540	2620
171	543	2617
172	546	2614
173	549	2610
174	552	2606
175	556	2603
176	559	2600
177	561	2594
178	565	2592
179	568	2590
180	571	2585
181	573	2579
182	575	2570
183	579	2568
184	582	2564
185	585	2562
186	588	2558
187	591	2555
188	594	2551
189	596	2545
190	599	2538
191	602	2536
192	605	2533
193	609	2530
194	612	2526
195	615	2523
196	617	2518
197	620	2514
198	623	2511
199	627	2508
200	628	2499
201	631	2495
202	635	2493
203	638	2490
204	641	2487
205	644	2484
206	647	2481
207	650	2478
208	653	2473
209	656	2469
210	659	2465
211	661	2460
212	664	2456
213	667	2453
214	669	2443
215	672	2439
216	675	2436
217	678	2434
218	681	2430
219	683	2421
220	686	2419
221	689	2415
222	692	2411
223	695	2409
224	697	2403
225	700	2399
226	703	2396
227	707	2393
228	709	2389
229	713	2387
230	715	2383
231	719	2381
232	722	2378
233	724	2370
234	726	2366
235	729	2363
236	733	2360
237	736	2357
238	739	2353
239	742	2350
240	745	2347
241	747	2340
242	750	2338
243	753	2334
244	756	2331
245	759	2327
246	762	2323
247	764	2318
248	767	2315
249	769	2308
250	772	2305
251	775	2301
252	778	2299
253	781	2296
254	783	2290
255	785	2282
256	788	2279
257	790	2274
258	792	2267
259	795	2264
260	798	2261
261	801	2258
262	803	2251
263	806	2248
264	807	2240
265	810	2237
266	813	2234
267	816	2231
268	819	2227
269	822	2222
270	824	2219
271	827	2215
272	830	2212
273	832	2204
274	834	2201
275	837	2196
276	840	2192
277	843	2189
278	846	2186
279	849	2183
280	852	2180
281	855	2178
282	857	2172
283	860	2169
284	864	2168
285	867	2165
286	870	2162
287	873	2159
288	876	2155
289	879	2152
290	882	2149
291	885	2146
292	886	2139
293	889	2136
294	892	2133
295	895	2130
296	898	2126
297	901	2122
298	903	2118
299	906	2115
300	909	2112
301	912	2109
302	915	2105
303	917	2099
304	918	2093
305	921	2090
306	923	2084
307	924	2077
308	927	2075
309	929	2069
310	932	2065
311	935	2062
312	938	2059
313	940	2053
314	943	2050
315	946	2047
316	949	2045
317	952	2042
318	955	2038
319	958	2036
320	960	2031
321	963	2029
322	966	2026
323	968	2020
324	971	2018
325	973	2012
326	976	2009
327	978	2005
328	981	2001
329	984	1998
330	986	1993
331	987	1986
332	990	1984
333	993	1981
334	996	1978
335	999	1975
336	1002	1972
337	1006	1970
338	1009	1967
339	1011	1964
340	1022	1976
341	1026	1975
342	1029	1972
343	1033	1970
344	1036	1968
345	1040	1966
346	1043	1964
347	1047	1961
348	1050	1959
349	1053	1957
350	1057	1954
351	1060	1952
352	1063	1949
353	1067	1947
354	1069	1943
355	1073	1941
356	1076	1938
357	1079	1935
358	1082	1932
359	1083	1926
360	1086	1923
361	1089	1920
362	1092	1917
363	1095	1913
364	1098	1911
365	1101	1908
366	1105	1905
367	1107	1902
368	1111	1899
369	1114	1897
370	1117	1894
371	1120	1891
372	1122	1887
373	1125	1884
374	1127	1878
375	1130	1876
376	1133	1873
377	1136	1870
378	1139	1867
379	1142	1864
380	1145	1861
381	1148	1858
382	1151	1855
383	1154	1852
384	1156	1847
385	1159	1845
386	1162	1840
387	1165	1839
388	1167	1833
389	1170	1830
390	1172	1825
391	1175	1822
392	1177	1819
393	1180	1816
394	1183	1812
395	1186	1809
396	1188	1805
397	1191	1802
398	1193	1797
399	1196	1795
400	1198	1789
401	1201	1786
402	1204	1783
403	1207	1780
404	1208	1775
405	1211	1772
406	1214	1769
407	1217	1766
408	1219	1762
409	1222	1758
410	1224	1755
411	1228	1752
412	1230	1749
413	1232	1744
414	1235	1741
415	1238	1738
416	1241	1735
417	1244	1732
418	1247	1729
419	1250	1726
420	1253	1723
421	1256	1720
422	1258	1717
423	1261	1713
424	1264	1710
425	1267	1708
426	1271	1705
427	1274	1702
428	1277	1700
429	1279	1696
430	1281	1691
431	1284	1689
432	1288	1686
433	1291	1684
434	1294	1681
435	1296	1677
436	1299	1674
437	1302	1671
438	1305	1667
439	1308	1664
440	1309	1660
441	1312	1657
442	1315	1653
443	1318	1650
444	1320	1647
445	1323	1644
446	1326	1641
447	1328	1636
448	1329	1631
449	1332	1628
450	1335	1626
451	1339	1623
452	1342	1621
453	1345	1617
454	1348	1614
455	1351	1611
456	1354	1608
457	1357	1605
458	1359	1602
459	1362	1598
460	1365	1596
461	1368	1593
462	1371	1590
463	1373	1586
464	1376	1583
465	1379	1580
466	1381	1576
467	1384	1573
468	1386	1570
469	1389	1567
470	1392	1564
471	1395	1561
472	1398	1557
473	1401	1555
474	1404	1552
475	1407	1549
476	1410	1546
477	1412	1542
478	1415	1539
479	1418	1536
480	1421	1533
481	1424	1530
482	1427	1527
483	1430	1524
484	1433	1521
485	1435	1518
486	1439	1515
487	1442	1513
488	1445	1510
489	1448	1507
490	1450	1503
491	1453	1500
492	1456	1498
493	1460	1495
494	1463	1492
495	1466	1490
496	1469	1487
497	1472	1484
498	1476	1482
499	1479	1479
500	1482	1476
501	1485	1473
502	1488	1470
503	1490	1466
504	1493	1464
505	1496	1461
506	1499	1458
507	1502	1455
508	1506	1453
509	1509	1450
510	1512	1447
511	1514	1443
512	1518	1441
513	1521	1438
514	1524	1436
515	1527	1433
516	1530	1430
517	1533	1427
518	1536	1424
519	1539	1421
520	1542	1418
521	1545	1415
522	1548	1412
523	1551	1409
524	1554	1406
525	1557	1403
526	1559	1400
527	1562	1397
528	1566	1394
529	1569	1391
530	1573	1390
531	1578	1388
532	1581	1385
533	1585	1383
534	1588	1380
535	1592	1378
536	1595	1375
537	1598	1372
538	1601	1369
539	1604	1366
540	1606	1362
541	1608	1358
542	1611	1355
543	1613	1352
544	1616	1349
545	1619	1346
546	1622	1343
547	1624	1339
548	1627	1337
549	1630	1334
550	1634	1331
551	1637	1328
552	1640	1325
553	1643	1322
554	1645	1318
555	1648	1316
556	1651	1313
557	1654	1310
558	1657	1307
559	1660	1304
560	1663	1301
561	1666	1299
562	1670	1296
563	1673	1293
564	1676	1290
565	1679	1287
566	1682	1285
567	1686	1282
568	1689	1279
569	1691	1275
570	1693	1272
571	1697	1270
572	1700	1266
573	1703	1264
574	1706	1261
575	1709	1258
576	1712	1255
577	1715	1252
578	1717	1249
579	1720	1246
580	1723	1243
581	1726	1240
582	1729	1237
583	1733	1234
584	1736	1231
585	1738	1228
586	1741	1225
587	1744	1222
588	1747	1219
589	1750	1216
590	1753	1213
591	1756	1210
592	1759	1207
593	1762	1204
594	1765	1201
595	1768	1198
596	1771	1195
597	1775	1193
598	1777	1190
599	1780	1187
600	1783	1184
601	1787	1181
602	1790	1178
603	1793	1175
604	1796	1172
605	1799	1169
606	1802	1166
607	1805	1163
608	1808	1161
609	1811	1158
610	1814	1155
611	1818	1152
612	1821	1149
613	1823	1146
614	1827	1144
615	1830	1141
616	1834	1138
617	1837	1135
618	1840	1132
619	1843	1129
620	1846	1126
621	1849	1123
622	1853	1121
623	1856	1118
624	1859	1115
625	1862	1112
626	1865	1110
627	1869	1107
628	1871	1104
629	1874	1101
630	1877	1098
631	1881	1095
632	1883	1092
633	1886	1089
634	1889	1086
635	1892	1082
636	1895	1079
637	1897	1076
638	1901	1074
639	1904	1071
640	1907	1068
641	1910	1065
642	1913	1062
643	1916	1059
644	1919	1056
645	1922	1053
646	1926	1050
647	1928	1047
648	1932	1045
649	1935	1042
650	1938	1039
651	1941	1036
652	1944	1033
653	1947	1030
654	1950	1027
655	1953	1024
656	1955	1021
657	1958	1018
658	1961	1015
659	1965	1012
660	1968	1009
661	1970	1006
662	1974	1003
663	1976	1000
664	1979	997
665	1982	994
666	1985	991
667	1988	988
668	1991	985
669	1994	982
670	1997	979
671	2001	976
672	2004	973
673	2007	970
674	2010	968
675	2013	965
676	2016	962
677	2020	959
678	2023	956
679	2026	953
680	2029	950
681	2031	947
682	2034	944
683	2037	941
684	2041	938
685	2044	935
686	2047	932
687	2051	930
688	2055	927
689	2058	925
690	2062	922
691	2065	919
692	2068	916
693	2072	913
694	2075	910
695	2078	907
696	2081	904
697	2084	901
698	2088	899
699	2090	896
700	2094	893
701	2096	890
702	2100	887
703	2104	884
704	2107	881
705	2110	879
706	2114	876
707	2117	873
708	2120	870
709	2124	867
710	2127	864
711	2130	861
712	2133	858
713	2137	856
714	2141	853
715	2144	850
716	2147	847
717	2151	844
718	2154	841
719	2157	839
720	2161	836
721	2164	833
722	2167	830
723	2170	827
724	2173	824
725	2177	821
726	2180	818
727	2184	816
728	2187	813
729	2190	810
730	2193	807
731	2196	804
732	2199	801
733	2202	798
734	2205	795
735	2208	792
736	2212	789
737	2215	786
738	2218	783
739	2221	780
740	2224	777
741	2227	774
742	2230	771
743	2233	768
744	2236	765
745	2239	762
746	2242	759
747	2245	756
748	2248	753
749	2252	750
750	2255	747
751	2258	744
752	2261	741
753	2264	738
754	2267	735
755	2270	732
756	2273	729
757	2276	726
758	2281	724
759	2284	721
760	2287	718
761	2291	715
762	2304	715
763	2308	712
764	2312	710
765	2315	707
766	2319	704
767	2322	701
768	2326	698
769	2329	695
770	2332	692
771	2335	689
772	2338	686
773	2342	683
774	2345	680
775	2348	678
776	2352	675
777	2355	672
778	2358	669
779	2362	666
780	2365	663
781	2369	660
782	2383	660
783	2386	657
784	2390	654
785	2393	651
786	2396	648
787	2401	646
788	2405	643
789	2408	640
790	2412	637
791	2415	634
792	2419	631
793	2422	628
794	2425	625
795	2429	622
796	2432	619
797	2436	616
798	2440	613
799	2444	611
800	2449	608
801	2452	605
802	2455	602
803	2458	599
804	2461	596
805	2464	593
806	2467	590
807	2470	587
808	2473	583
809	2476	581
810	2480	578
811	2485	575
812	2488	572
813	2491	569
814	2496	566
815	2499	563
816	2503	560
817	2506	557
818	2509	554
819	2513	551
820	2516	548
821	2519	545
822	2522	542
823	2525	539
824	2528	536
825	2532	533
826	2535	530
827	2539	527
828	2542	524
829	2546	521
830	2549	518
831	2551	515
832	2555	512
833	2558	509
834	2561	506
835	2564	503
836	2567	500
837	2571	497
838	2574	493
839	2578	491
840	2581	488
841	2585	485
842	2588	482
843	2592	479
844	2595	476
845	2598	473
846	2602	470
847	2605	467
848	2609	464
849	2612	460
850	2614	457
851	2618	454
852	2620	451
853	2624	448
854	2627	445
855	2631	442
856	2634	439
857	2637	436
858	2641	433
859	2644	430
860	2647	427
861	2655	425
862	2658	422
863	2662	419
864	2665	416
865	2669	413
866	2672	409
867	2675	406
868	2678	403
869	2681	400
870	2684	397
871	2687	394
872	2690	391
873	2693	388
874	2696	385
875	2699	382
876	2703	379
877	2707	376
878	2710	373
879	2713	370
880	2716	366
881	2719	363
882	2723	360
883	2726	357
884	2729	354
885	2732	351
886	2735	348
887	2738	345
888	2741	342
889	2744	339
890	2748	336
891	2751	333
892	2755	330
893	2758	327
894	2761	324
895	2765	320
896	2768	317
897	2772	314
898	2775	311
899	2778	308
900	2781	305
901	2784	302
902	2788	299
903	2791	296
904	2794	293
905	2797	290
906	2800	287
907	2805	284
908	2808	281
909	2812	278
910	2815	275
911	2818	271
912	2822	268
913	2825	265
914	2829	262
915	2832	259
916	2835	256
917	2839	253
918	2842	250
919	2846	247
920	2849	244
921	2852	241
922	2856	238
923	2859	235
924	2862	232
925	2865	228
926	2868	225
927	2870	222
928	2874	219
929	2877	216
930	2880	213
931	2883	210
932	2886	207
933	2889	204
934	2893	201
935	2896	198
936	2899	194
937	2902	191
938	2906	188
939	2910	185
940	2913	182
941	2916	179
942	2919	176
943	2922	173
944	2926	170
945	2928	167
946	2932	164
947	2936	161
948	2938	157
949	2942	154
950	2945	151
951	2948	148
952	2951	145
953	2955	142
954	2958	139
955	2961	136
956	2965	133
957	2968	130
958	2972	127
959	2975	123
960	2978	120
961	2981	117
962	2985	114
963	2988	111
964	2991	108
965	2994	105
966	2997	102
967	3001	99
968	3004	96
969	3007	93
970	3011	89
971	3014	86
972	3017	83
973	3021	80
974	3026	77
975	3048	74
976	3052	71
977	3056	68
978	3062	65
979	3067	62
980	3070	59
981	3073	56
982	3077	53
983	3080	50
984	3083	46
985	3086	43
986	3089	40
987	3093	37
988	3096	34
989	3099	31
990	3102	28
991	3106	25
992	3109	21
993	3113	18
994	3116	15
995	3119	12
996	3122	9
997	3124	6
998	3127	3
999	3130	0
